symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
PLUS,74,0.3106,0.3233,0.3649,0.0127,0.0416,0.1139
MPLX,74,0.3104,0.3412,0.4025,0.0308,0.0614,0.1524
UE,74,0.3103,0.3758,0.5146,0.0655,0.1388,0.2697
UNF,74,0.3103,0.3350,0.3732,0.0247,0.0381,0.1022
WTTR,67,0.3103,0.3499,0.4230,0.0396,0.0731,0.1728
SHOO,74,0.3102,0.3439,0.4042,0.0336,0.0604,0.1494
DXC,74,0.3101,0.3387,0.3961,0.0285,0.0574,0.1450
CNM,18,0.3100,0.3241,0.3782,0.0140,0.0541,0.1431
BHFAP,46,0.3100,0.3110,0.3579,0.0011,0.0468,0.1309
IIIV,55,0.3096,0.3257,0.3710,0.0161,0.0452,0.1219
APOG,74,0.3096,0.3430,0.3861,0.0334,0.0431,0.1117
DOC,74,0.3095,0.3459,0.5926,0.0363,0.2468,0.4164
CLDT,74,0.3095,0.3616,0.4611,0.0521,0.0995,0.2158
MTZ,74,0.3094,0.3409,0.4054,0.0315,0.0645,0.1591
ESS,74,0.3092,0.3454,0.6009,0.0361,0.2555,0.4252
AES,74,0.3092,0.3421,0.4363,0.0328,0.0943,0.2160
MGRD,18,0.3087,0.3154,0.3468,0.0067,0.0314,0.0905
EXC,74,0.3087,0.3426,0.6147,0.0339,0.2722,0.4428
MCBS,40,0.3086,0.3639,0.4210,0.0553,0.0572,0.1358
FCPT,74,0.3084,0.3330,0.5161,0.0245,0.1831,0.3548
DCH,74,0.3082,0.3406,0.4245,0.0324,0.0839,0.1976
PLNT,74,0.3081,0.3247,0.3742,0.0166,0.0495,0.1322
AIV,74,0.3081,0.3343,0.5358,0.0262,0.2015,0.3761
THG,74,0.3079,0.3846,0.4278,0.0767,0.0432,0.1010
HTH,74,0.3078,0.3628,0.4518,0.0550,0.0890,0.1970
TROX,74,0.3077,0.3411,0.4296,0.0333,0.0885,0.2060
AHRT,74,0.3076,0.3538,0.4759,0.0463,0.1220,0.2565
DNOW,74,0.3076,0.3532,0.4444,0.0456,0.0912,0.2053
AAT,74,0.3075,0.3700,0.5383,0.0626,0.1682,0.3126
FOXF,74,0.3073,0.3238,0.3662,0.0165,0.0424,0.1158
LNG,74,0.3072,0.3288,0.3902,0.0215,0.0615,0.1575
DUKB,51,0.3072,0.3196,0.3726,0.0124,0.0530,0.1423
PFS,74,0.3071,0.3962,0.4653,0.0891,0.0691,0.1485
ALG,74,0.3071,0.3405,0.4085,0.0334,0.0680,0.1664
IBCP,74,0.3070,0.3873,0.4622,0.0802,0.0749,0.1621
NVR,74,0.3070,0.3154,0.3707,0.0084,0.0553,0.1492
HLIO,74,0.3068,0.3344,0.3884,0.0276,0.0540,0.1390
WSO,74,0.3068,0.3161,0.3888,0.0093,0.0727,0.1869
HAFC,74,0.3067,0.3877,0.4748,0.0810,0.0871,0.1834
FOX,46,0.3064,0.3553,0.4003,0.0488,0.0451,0.1125
MFIC,74,0.3064,0.3239,0.3703,0.0175,0.0465,0.1255
CACI,74,0.3063,0.3220,0.3999,0.0157,0.0779,0.1949
NNN,74,0.3062,0.3510,0.5757,0.0447,0.2247,0.3903
FISI,74,0.3062,0.3800,0.4554,0.0738,0.0754,0.1656
AYI,74,0.3061,0.3395,0.3955,0.0334,0.0561,0.1418
TFSL,74,0.3060,0.3613,0.4201,0.0553,0.0588,0.1400
INN,74,0.3056,0.3570,0.4498,0.0514,0.0929,0.2064
GOLF,74,0.3055,0.3149,0.3518,0.0093,0.0369,0.1050
SREA,43,0.3055,0.3171,0.3690,0.0116,0.0519,0.1406
TNET,74,0.3055,0.3241,0.3643,0.0186,0.0403,0.1105
SYBT,74,0.3052,0.3683,0.4473,0.0630,0.0790,0.1767
UVSP,74,0.3051,0.3885,0.4628,0.0833,0.0743,0.1606
WASH,74,0.3048,0.3793,0.4407,0.0745,0.0614,0.1393
RMD,74,0.3048,0.3169,0.3745,0.0120,0.0576,0.1537
BANF,74,0.3043,0.3777,0.4553,0.0735,0.0776,0.1705
TW,45,0.3043,0.3211,0.3777,0.0169,0.0565,0.1497
ELS,74,0.3043,0.3247,0.5669,0.0204,0.2422,0.4273
PJT,74,0.3042,0.3184,0.3720,0.0142,0.0537,0.1443
ACVA,22,0.3042,0.3325,0.3837,0.0283,0.0512,0.1335
CMP,74,0.3041,0.3332,0.3836,0.0292,0.0504,0.1313
DBX,58,0.3041,0.3388,0.3987,0.0348,0.0598,0.1501
BRSP,59,0.3040,0.3386,0.3989,0.0345,0.0603,0.1512
CF,74,0.3039,0.3426,0.4041,0.0387,0.0614,0.1521
FTS,74,0.3037,0.3235,0.4767,0.0199,0.1531,0.3212
MTN,74,0.3035,0.3211,0.3671,0.0176,0.0460,0.1252
IAC,74,0.3035,0.3589,0.4149,0.0554,0.0561,0.1351
SXC,74,0.3034,0.3402,0.4132,0.0368,0.0730,0.1766
BWIN,39,0.3033,0.3209,0.3613,0.0176,0.0404,0.1118
AAL,74,0.3033,0.3415,0.4624,0.0382,0.1209,0.2615
VECO,74,0.3032,0.3256,0.4535,0.0224,0.1279,0.2820
TMUS,74,0.3032,0.3158,0.3509,0.0126,0.0351,0.1000
CME,74,0.3031,0.3298,0.4089,0.0267,0.0791,0.1935
ESTC,51,0.3030,0.3987,0.4756,0.0957,0.0769,0.1617
LDOS,74,0.3028,0.3249,0.4014,0.0221,0.0764,0.1904
TILE,74,0.3027,0.3572,0.4236,0.0544,0.0665,0.1569
IFF,74,0.3027,0.3178,0.3522,0.0151,0.0344,0.0978
LUV,74,0.3026,0.3489,0.4447,0.0462,0.0959,0.2155
CLF,74,0.3025,0.3261,0.4003,0.0236,0.0742,0.1853
AMBA,74,0.3024,0.3260,0.4300,0.0236,0.1040,0.2418
KMX,74,0.3024,0.3200,0.3691,0.0176,0.0491,0.1329
NAVI,74,0.3024,0.3367,0.4092,0.0343,0.0726,0.1773
BCSF,50,0.3023,0.3172,0.3618,0.0150,0.0445,0.1231
FIVE,74,0.3021,0.3145,0.3492,0.0124,0.0347,0.0993
REI,74,0.3020,0.3266,0.4012,0.0247,0.0745,0.1858
BCC,74,0.3018,0.3243,0.3885,0.0225,0.0643,0.1654
GE,74,0.3017,0.3535,0.4285,0.0518,0.0750,0.1750
COMP,22,0.3017,0.3434,0.4258,0.0417,0.0824,0.1936
AM,68,0.3016,0.3322,0.4018,0.0306,0.0696,0.1732
WPC,74,0.3016,0.3398,0.5364,0.0382,0.1967,0.3666
FMBH,74,0.3014,0.3657,0.4321,0.0643,0.0664,0.1537
BFS,74,0.3013,0.3679,0.4659,0.0667,0.0980,0.2103
WTRG,74,0.3008,0.3291,0.5384,0.0283,0.2093,0.3887
PRK,74,0.3007,0.3621,0.4260,0.0613,0.0639,0.1500
WST,74,0.3007,0.3352,0.4148,0.0344,0.0796,0.1919
OI,74,0.3007,0.3378,0.3919,0.0371,0.0541,0.1379
ILPT,60,0.3004,0.3289,0.4139,0.0285,0.0850,0.2054
TPL,74,0.3003,0.3277,0.3841,0.0273,0.0564,0.1469
DV,21,0.3003,0.3375,0.4101,0.0372,0.0726,0.1771
NFLX,74,0.3001,0.3629,0.4128,0.0628,0.0499,0.1210
BIO,74,0.3001,0.3267,0.4200,0.0266,0.0934,0.2223
MHK,74,0.2999,0.3402,0.4042,0.0403,0.0639,0.1582
MDU,74,0.2999,0.3609,0.4709,0.0610,0.1100,0.2336
GOOD,74,0.2998,0.3360,0.4489,0.0362,0.1129,0.2514
EQT,74,0.2996,0.3175,0.3566,0.0178,0.0392,0.1098
CALY,74,0.2996,0.3156,0.3778,0.0160,0.0623,0.1648
BLKB,74,0.2994,0.3160,0.3538,0.0166,0.0379,0.1070
CRI,74,0.2993,0.3251,0.3800,0.0257,0.0549,0.1445
BGC,74,0.2993,0.3303,0.3893,0.0309,0.0591,0.1517
NTCT,74,0.2992,0.3102,0.3427,0.0111,0.0325,0.0948
AKR,74,0.2992,0.3673,0.5216,0.0681,0.1543,0.2958
MPT,74,0.2991,0.3206,0.4826,0.0216,0.1620,0.3356
CXM,19,0.2990,0.3382,0.4035,0.0392,0.0653,0.1618
PATK,74,0.2989,0.3230,0.3951,0.0241,0.0721,0.1825
PLAB,74,0.2987,0.3122,0.4328,0.0135,0.1206,0.2787
EPR,74,0.2986,0.3401,0.4983,0.0415,0.1582,0.3174
PENG,68,0.2986,0.3129,0.4085,0.0143,0.0956,0.2340
SAIC,74,0.2984,0.3176,0.3878,0.0192,0.0702,0.1810
RUSHA,74,0.2983,0.3454,0.4161,0.0471,0.0707,0.1699
OZKAP,15,0.2979,0.3092,0.3457,0.0113,0.0365,0.1056
CMG,74,0.2979,0.3332,0.3792,0.0353,0.0460,0.1213
EBC,27,0.2979,0.3373,0.4043,0.0394,0.0670,0.1658
HCA,74,0.2976,0.3281,0.3958,0.0305,0.0677,0.1710
NVTS,15,0.2976,0.3330,0.4802,0.0354,0.1472,0.3066
SABR,74,0.2975,0.3178,0.4010,0.0204,0.0831,0.2073
GNL,74,0.2967,0.3421,0.4537,0.0454,0.1116,0.2459
NEOG,74,0.2965,0.3054,0.3477,0.0088,0.0423,0.1216
BV,54,0.2965,0.3335,0.3911,0.0369,0.0576,0.1474
IRM,74,0.2964,0.3175,0.4473,0.0210,0.1299,0.2903
WU,74,0.2964,0.3275,0.3746,0.0311,0.0470,0.1256
THR,74,0.2962,0.3371,0.3948,0.0409,0.0578,0.1463
TRS,74,0.2962,0.3429,0.3871,0.0468,0.0442,0.1141
UHS,74,0.2961,0.3383,0.4021,0.0422,0.0638,0.1587
GTM,31,0.2960,0.3723,0.4319,0.0763,0.0597,0.1381
ARI,74,0.2960,0.3297,0.3870,0.0337,0.0574,0.1482
PD,45,0.2958,0.4057,0.4782,0.1098,0.0726,0.1517
NMIH,74,0.2956,0.3236,0.3813,0.0280,0.0576,0.1512
S,19,0.2953,0.3721,0.4683,0.0768,0.0962,0.2055
AMGN,74,0.2952,0.3203,0.4848,0.0250,0.1645,0.3394
DSL,74,0.2952,0.3058,0.3497,0.0107,0.0439,0.1255
TRST,74,0.2952,0.3738,0.4336,0.0787,0.0598,0.1378
RPD,74,0.2950,0.3650,0.4146,0.0700,0.0496,0.1197
FWONK,74,0.2949,0.3026,0.3507,0.0077,0.0481,0.1371
WYNN,74,0.2949,0.3243,0.4374,0.0294,0.1131,0.2586
SITC,74,0.2945,0.3479,0.4810,0.0534,0.1331,0.2768
SUI,74,0.2944,0.3159,0.5445,0.0215,0.2286,0.4198
APP,21,0.2940,0.3472,0.4288,0.0532,0.0816,0.1903
MTRN,74,0.2939,0.3227,0.3959,0.0287,0.0732,0.1849
SNOW,28,0.2939,0.3936,0.4616,0.0997,0.0680,0.1474
CAC,74,0.2937,0.3743,0.4343,0.0806,0.0600,0.1380
ESRT,74,0.2937,0.3487,0.4877,0.0549,0.1391,0.2851
TASK,19,0.2937,0.3171,0.3817,0.0234,0.0645,0.1690
BZH,74,0.2936,0.3050,0.3674,0.0114,0.0624,0.1698
CTS,74,0.2933,0.3182,0.3864,0.0248,0.0682,0.1766
TBBK,74,0.2932,0.3282,0.4070,0.0350,0.0788,0.1936
TENB,54,0.2932,0.3523,0.4050,0.0591,0.0527,0.1300
WMS,74,0.2932,0.3043,0.3460,0.0111,0.0416,0.1204
WTBA,74,0.2930,0.3590,0.4205,0.0660,0.0614,0.1461
AZZ,74,0.2930,0.3402,0.3992,0.0473,0.0590,0.1478
REAL,43,0.2929,0.3389,0.4203,0.0460,0.0814,0.1936
ASO,27,0.2929,0.3094,0.3607,0.0165,0.0513,0.1422
PBF,74,0.2927,0.3236,0.4022,0.0309,0.0786,0.1955
TTMI,74,0.2926,0.3045,0.3839,0.0119,0.0794,0.2067
CR,2,0.2926,0.3377,0.4277,0.0451,0.0900,0.2105
RIVN,14,0.2926,0.3320,0.4686,0.0395,0.1365,0.2914
KREF,68,0.2924,0.3159,0.3812,0.0235,0.0653,0.1713
NX,74,0.2923,0.3298,0.3810,0.0375,0.0512,0.1344
SNDR,69,0.2923,0.3134,0.3768,0.0211,0.0634,0.1683
ELC,12,0.2921,0.3002,0.3278,0.0082,0.0276,0.0841
ALSN,74,0.2917,0.3413,0.4263,0.0497,0.0849,0.1992
FTHY,31,0.2917,0.2933,0.3178,0.0017,0.0245,0.0771
SPT,37,0.2915,0.4074,0.4869,0.1159,0.0794,0.1632
LKFN,74,0.2915,0.3581,0.4310,0.0666,0.0729,0.1691
SCI,74,0.2914,0.3096,0.3552,0.0182,0.0456,0.1285
GTY,74,0.2911,0.3336,0.4831,0.0425,0.1496,0.3096
SIRI,74,0.2910,0.3021,0.3354,0.0112,0.0333,0.0992
GTLB,15,0.2909,0.3435,0.4036,0.0525,0.0601,0.1489
AMPL,16,0.2908,0.3263,0.4070,0.0355,0.0807,0.1983
SEI,68,0.2908,0.3382,0.4118,0.0474,0.0737,0.1788
INSP,56,0.2908,0.3321,0.4144,0.0413,0.0823,0.1986
PRIM,74,0.2907,0.3323,0.3978,0.0416,0.0655,0.1647
BALL,74,0.2907,0.3083,0.3553,0.0176,0.0471,0.1325
PENN,74,0.2905,0.3213,0.4065,0.0308,0.0852,0.2096
PSN,44,0.2905,0.3200,0.4011,0.0295,0.0811,0.2022
AMWD,74,0.2902,0.3090,0.3698,0.0188,0.0608,0.1643
LGIH,74,0.2901,0.3012,0.3588,0.0111,0.0576,0.1605
LOB,74,0.2900,0.3193,0.3899,0.0293,0.0705,0.1809
MP,31,0.2900,0.3234,0.4368,0.0334,0.1135,0.2598
UHAL,74,0.2899,0.3061,0.3449,0.0162,0.0388,0.1126
SKYW,74,0.2896,0.3359,0.4278,0.0463,0.0919,0.2149
DK,74,0.2895,0.3310,0.4017,0.0415,0.0707,0.1760
ASIX,74,0.2895,0.3394,0.3925,0.0499,0.0532,0.1354
NET,40,0.2895,0.4168,0.4838,0.1274,0.0670,0.1385
SEM,74,0.2893,0.3084,0.3676,0.0190,0.0593,0.1612
FWONA,74,0.2891,0.2964,0.3486,0.0073,0.0522,0.1497
HOOD,18,0.2888,0.3319,0.4341,0.0430,0.1022,0.2355
MSBI,74,0.2884,0.3666,0.4511,0.0782,0.0844,0.1872
AGM,74,0.2883,0.3350,0.3895,0.0467,0.0545,0.1400
KRO,74,0.2881,0.3260,0.4070,0.0379,0.0810,0.1990
DECK,74,0.2880,0.3057,0.3542,0.0177,0.0485,0.1369
BFST,57,0.2879,0.3331,0.3878,0.0452,0.0547,0.1410
JBLU,74,0.2878,0.3357,0.4485,0.0480,0.1128,0.2515
CCI,74,0.2877,0.3048,0.5684,0.0171,0.2636,0.4637
MGRC,74,0.2875,0.3212,0.3626,0.0337,0.0415,0.1144
NFBK,74,0.2874,0.3658,0.4298,0.0784,0.0640,0.1489
IPGP,74,0.2874,0.3120,0.4183,0.0246,0.1063,0.2541
OPY,74,0.2873,0.3166,0.3606,0.0294,0.0440,0.1221
COLD,60,0.2872,0.3009,0.4488,0.0137,0.1479,0.3295
PANW,74,0.2869,0.3354,0.3697,0.0485,0.0343,0.0928
CRK,74,0.2869,0.3034,0.3601,0.0165,0.0567,0.1575
EXPE,74,0.2868,0.3118,0.3723,0.0249,0.0605,0.1626
BHFAM,14,0.2868,0.2961,0.3339,0.0093,0.0378,0.1132
LADR,74,0.2866,0.3205,0.3843,0.0339,0.0638,0.1661
ITRI,74,0.2866,0.3061,0.3507,0.0195,0.0447,0.1273
AGNC,74,0.2866,0.3145,0.3710,0.0280,0.0565,0.1523
ABM,74,0.2865,0.3248,0.3621,0.0383,0.0373,0.1031
GTLS,74,0.2864,0.3166,0.4058,0.0302,0.0892,0.2199
MQ,19,0.2863,0.3319,0.4385,0.0456,0.1065,0.2429
PDI,74,0.2860,0.2925,0.3233,0.0066,0.0308,0.0952
ELAN,52,0.2860,0.3014,0.3546,0.0154,0.0532,0.1501
DTG,13,0.2859,0.2946,0.3358,0.0087,0.0412,0.1228
ACDC,8,0.2857,0.3240,0.3712,0.0383,0.0472,0.1272
NNI,74,0.2852,0.3140,0.3631,0.0288,0.0490,0.1350
TTD,74,0.2852,0.3486,0.4131,0.0635,0.0644,0.1560
DLR,74,0.2848,0.2977,0.5439,0.0129,0.2462,0.4526
CIEN,74,0.2848,0.2918,0.3295,0.0070,0.0377,0.1143
UHT,74,0.2847,0.3356,0.4690,0.0509,0.1334,0.2844
PLOW,74,0.2846,0.3223,0.3748,0.0377,0.0525,0.1401
DDOG,40,0.2846,0.4103,0.4616,0.1257,0.0513,0.1111
DINO,74,0.2845,0.3296,0.3970,0.0451,0.0674,0.1698
VSCO,18,0.2845,0.2928,0.3446,0.0084,0.0518,0.1503
ALKT,21,0.2844,0.3340,0.4103,0.0496,0.0763,0.1859
BAX,74,0.2843,0.3064,0.3943,0.0221,0.0879,0.2229
GEL,74,0.2841,0.3129,0.3740,0.0287,0.0611,0.1634
VICR,74,0.2840,0.3108,0.3740,0.0268,0.0632,0.1691
QLYS,74,0.2839,0.3217,0.3631,0.0378,0.0414,0.1139
BLW,74,0.2839,0.2919,0.3334,0.0080,0.0414,0.1243
OBK,56,0.2838,0.3592,0.4253,0.0754,0.0661,0.1555
REZI,51,0.2836,0.3051,0.3769,0.0215,0.0718,0.1905
CASS,74,0.2835,0.3236,0.3663,0.0402,0.0426,0.1164
NLY,74,0.2835,0.3173,0.3778,0.0338,0.0605,0.1601
SCSC,74,0.2834,0.3149,0.3828,0.0315,0.0679,0.1774
PRSU,74,0.2833,0.3252,0.4021,0.0419,0.0769,0.1912
PINS,45,0.2831,0.3389,0.4014,0.0558,0.0625,0.1557
UMH,74,0.2829,0.3147,0.4284,0.0317,0.1138,0.2655
LNN,74,0.2829,0.3075,0.3636,0.0246,0.0561,0.1543
GPK,74,0.2828,0.3280,0.3684,0.0452,0.0404,0.1097
CNP,74,0.2827,0.3272,0.5448,0.0445,0.2176,0.3994
BHFAL,52,0.2827,0.2915,0.3410,0.0088,0.0495,0.1452
HTZ,18,0.2827,0.2984,0.3612,0.0157,0.0629,0.1740
BILL,37,0.2824,0.3816,0.4382,0.0992,0.0567,0.1293
CHE,74,0.2823,0.2977,0.3513,0.0154,0.0536,0.1525
YOU,19,0.2823,0.3097,0.3615,0.0274,0.0518,0.1433
ARCB,74,0.2822,0.3056,0.3792,0.0234,0.0736,0.1941
ECVT,63,0.2820,0.3155,0.3718,0.0335,0.0563,0.1514
SBAC,74,0.2818,0.3030,0.5317,0.0212,0.2287,0.4301
OSBC,74,0.2817,0.3576,0.4165,0.0759,0.0589,0.1413
BCO,74,0.2816,0.3091,0.3522,0.0274,0.0431,0.1225
BFAM,74,0.2816,0.3035,0.3519,0.0219,0.0484,0.1376
WELL,74,0.2815,0.3217,0.5524,0.0402,0.2306,0.4175
PRS,53,0.2814,0.2935,0.3555,0.0121,0.0620,0.1744
AROW,74,0.2813,0.3416,0.4019,0.0603,0.0603,0.1500
PFGC,74,0.2813,0.3128,0.3892,0.0315,0.0764,0.1963
HII,74,0.2813,0.3298,0.4775,0.0485,0.1477,0.3093
KOP,74,0.2812,0.3168,0.3943,0.0355,0.0775,0.1966
HUBG,74,0.2811,0.3045,0.3649,0.0235,0.0603,0.1654
KTB,44,0.2809,0.3345,0.4004,0.0537,0.0658,0.1645
CIM,74,0.2805,0.3073,0.3699,0.0268,0.0626,0.1692
RBCAA,74,0.2805,0.3486,0.4123,0.0681,0.0637,0.1546
CMSC,51,0.2805,0.2942,0.3470,0.0137,0.0528,0.1522
CVI,74,0.2804,0.3159,0.3825,0.0355,0.0666,0.1740
RBB,66,0.2803,0.3480,0.4087,0.0676,0.0607,0.1486
XPRO,74,0.2803,0.3188,0.3958,0.0385,0.0770,0.1946
FOUR,31,0.2802,0.3225,0.3920,0.0422,0.0695,0.1773
VRT,53,0.2801,0.2986,0.3694,0.0185,0.0708,0.1916
STC,74,0.2801,0.3032,0.3351,0.0231,0.0319,0.0952
JNJ,74,0.2800,0.3319,0.4953,0.0518,0.1634,0.3299
MGRB,28,0.2798,0.2857,0.3256,0.0059,0.0399,0.1224
CACC,74,0.2798,0.3004,0.3500,0.0206,0.0497,0.1419
BOOT,74,0.2797,0.3077,0.3807,0.0280,0.0730,0.1917
LILAK,74,0.2795,0.3053,0.3577,0.0259,0.0523,0.1464
PCB,53,0.2795,0.3155,0.3554,0.0360,0.0399,0.1123
FET,74,0.2795,0.2957,0.3610,0.0162,0.0653,0.1809
TRTX,66,0.2794,0.3061,0.3618,0.0266,0.0557,0.1540
CBNK,52,0.2794,0.3243,0.3747,0.0449,0.0504,0.1345
OKTA,69,0.2793,0.3904,0.4334,0.1112,0.0430,0.0992
NSP,74,0.2791,0.3026,0.3466,0.0235,0.0440,0.1270
RES,74,0.2791,0.3282,0.4307,0.0491,0.1026,0.2381
MDB,63,0.2790,0.3958,0.4466,0.1168,0.0507,0.1136
VTR,74,0.2790,0.3239,0.5453,0.0449,0.2214,0.4060
OGE,74,0.2790,0.3404,0.5834,0.0614,0.2430,0.4166
FCBC,74,0.2789,0.3595,0.4206,0.0806,0.0611,0.1453
NFG,74,0.2788,0.3469,0.4239,0.0681,0.0771,0.1818
FOXA,46,0.2787,0.3273,0.3700,0.0486,0.0427,0.1153
FSK,74,0.2787,0.3023,0.3442,0.0236,0.0419,0.1218
CVLT,74,0.2785,0.2940,0.3448,0.0155,0.0508,0.1473
LMT,74,0.2785,0.3150,0.5617,0.0365,0.2467,0.4391
RH,74,0.2785,0.2935,0.3449,0.0149,0.0515,0.1492
SOJC,62,0.2783,0.2843,0.3277,0.0059,0.0434,0.1325
BTZ,74,0.2779,0.2860,0.3264,0.0081,0.0404,0.1239
SKY,74,0.2779,0.2931,0.3511,0.0152,0.0581,0.1653
LITE,74,0.2778,0.2966,0.3926,0.0188,0.0961,0.2447
BRSL,74,0.2778,0.3054,0.3827,0.0277,0.0773,0.2019
SBR,74,0.2774,0.3013,0.3601,0.0239,0.0588,0.1632
HMN,74,0.2774,0.3413,0.3834,0.0639,0.0421,0.1098
TSCO,74,0.2774,0.2906,0.3476,0.0133,0.0569,0.1638
GEF,74,0.2773,0.3229,0.3707,0.0456,0.0478,0.1290
THFF,74,0.2771,0.3577,0.4275,0.0806,0.0698,0.1632
IART,74,0.2769,0.2961,0.3519,0.0192,0.0558,0.1586
DTE,74,0.2767,0.3445,0.6643,0.0678,0.3198,0.4814
PPL,74,0.2767,0.3445,0.5618,0.0678,0.2172,0.3867
SD,74,0.2767,0.3078,0.3802,0.0311,0.0724,0.1904
LASR,57,0.2765,0.3050,0.3993,0.0284,0.0944,0.2363
HSIC,74,0.2764,0.3126,0.3665,0.0362,0.0539,0.1471
FRST,74,0.2762,0.3450,0.4165,0.0688,0.0715,0.1716
RMR,74,0.2762,0.3116,0.3604,0.0355,0.0488,0.1354
VVV,74,0.2761,0.3020,0.3608,0.0259,0.0588,0.1630
ENVA,74,0.2759,0.3129,0.3769,0.0369,0.0640,0.1698
PEG,74,0.2759,0.3259,0.6077,0.0500,0.2818,0.4638
BHE,74,0.2758,0.3043,0.4051,0.0285,0.1007,0.2487
CCB,54,0.2758,0.3049,0.3587,0.0291,0.0537,0.1498
CHTR,74,0.2756,0.2865,0.3244,0.0109,0.0378,0.1166
CFFN,74,0.2755,0.3491,0.4006,0.0735,0.0515,0.1286
STZ,74,0.2755,0.2946,0.3449,0.0190,0.0504,0.1460
DNA,21,0.2755,0.3089,0.4230,0.0334,0.1141,0.2697
CDP,74,0.2755,0.3093,0.4511,0.0338,0.1418,0.3144
WES,74,0.2754,0.3074,0.3668,0.0320,0.0593,0.1618
PGR,74,0.2753,0.3012,0.3708,0.0259,0.0695,0.1876
ADPT,43,0.2753,0.3772,0.5078,0.1019,0.1306,0.2571
ALGT,74,0.2753,0.3112,0.3945,0.0360,0.0832,0.2110
XEL,74,0.2752,0.3198,0.6976,0.0447,0.3778,0.5415
HASI,74,0.2751,0.2970,0.3684,0.0218,0.0715,0.1940
SG,14,0.2748,0.2917,0.3460,0.0169,0.0543,0.1569
MLKN,74,0.2747,0.3116,0.3641,0.0369,0.0525,0.1442
ABR,74,0.2742,0.2955,0.3603,0.0212,0.0648,0.1800
CION,15,0.2742,0.2917,0.3322,0.0176,0.0405,0.1219
TRC,74,0.2741,0.3010,0.3454,0.0269,0.0444,0.1285
THO,74,0.2740,0.2916,0.3681,0.0177,0.0765,0.2077
FCFS,74,0.2739,0.2948,0.3317,0.0210,0.0369,0.1113
BDX,74,0.2738,0.2999,0.4277,0.0261,0.1279,0.2990
BSRR,74,0.2738,0.3495,0.4204,0.0757,0.0710,0.1688
CLBK,57,0.2737,0.3438,0.3900,0.0700,0.0462,0.1185
EXTR,74,0.2737,0.2886,0.3459,0.0149,0.0573,0.1657
ASAN,28,0.2735,0.3635,0.4719,0.0900,0.1084,0.2296
YELP,74,0.2733,0.2948,0.3614,0.0216,0.0665,0.1841
NVRI,74,0.2733,0.3147,0.3873,0.0414,0.0726,0.1874
NXDR,14,0.2732,0.3042,0.3800,0.0309,0.0758,0.1995
LZB,74,0.2732,0.2942,0.3460,0.0211,0.0518,0.1496
NIC,74,0.2731,0.3316,0.3844,0.0585,0.0528,0.1373
HY,74,0.2731,0.3044,0.3712,0.0313,0.0668,0.1801
RUSHB,74,0.2731,0.3156,0.3875,0.0426,0.0718,0.1854
GBX,74,0.2731,0.3079,0.3748,0.0348,0.0669,0.1785
BROS,16,0.2730,0.2891,0.3241,0.0161,0.0351,0.1082
LILA,74,0.2728,0.2997,0.3508,0.0270,0.0511,0.1456
ROL,74,0.2726,0.2891,0.3555,0.0165,0.0663,0.1866
HR,74,0.2726,0.2935,0.5110,0.0209,0.2175,0.4257
PLTR,28,0.2724,0.3738,0.4847,0.1014,0.1109,0.2288
ULCC,22,0.2723,0.2886,0.3595,0.0163,0.0710,0.1974
IRDM,74,0.2721,0.2913,0.3483,0.0192,0.0570,0.1637
TWST,50,0.2720,0.3501,0.4856,0.0781,0.1355,0.2790
CEG,12,0.2720,0.2950,0.3920,0.0230,0.0969,0.2473
RLI,74,0.2719,0.3243,0.3689,0.0524,0.0446,0.1209
HBANP,23,0.2718,0.2805,0.3162,0.0087,0.0357,0.1130
CABO,74,0.2715,0.2825,0.3255,0.0110,0.0429,0.1320
MAC,74,0.2715,0.3164,0.4439,0.0449,0.1274,0.2871
DLX,74,0.2714,0.3359,0.4015,0.0645,0.0656,0.1634
RGEN,74,0.2712,0.3226,0.4322,0.0514,0.1096,0.2535
RVLV,43,0.2712,0.3071,0.3667,0.0359,0.0595,0.1624
KNX,74,0.2712,0.2880,0.3482,0.0168,0.0602,0.1730
PSEC,74,0.2711,0.2856,0.3125,0.0145,0.0268,0.0859
MATW,74,0.2710,0.3377,0.3851,0.0666,0.0474,0.1232
CPNG,22,0.2708,0.3047,0.4107,0.0339,0.1061,0.2582
KMPR,74,0.2707,0.3093,0.3366,0.0386,0.0273,0.0810
SRE,74,0.2707,0.3147,0.5435,0.0440,0.2288,0.4210
ABG,74,0.2705,0.3073,0.3731,0.0368,0.0658,0.1764
GLAD,74,0.2703,0.2884,0.3338,0.0181,0.0453,0.1358
COUR,22,0.2703,0.3185,0.3933,0.0482,0.0748,0.1902
RNG,74,0.2703,0.3579,0.4156,0.0876,0.0577,0.1388
NRG,74,0.2702,0.2840,0.3497,0.0138,0.0657,0.1879
PG,74,0.2701,0.3119,0.5842,0.0418,0.2723,0.4660
FA,19,0.2699,0.2762,0.3139,0.0063,0.0377,0.1200
OPLN,74,0.2699,0.2951,0.3352,0.0252,0.0401,0.1195
GHC,74,0.2698,0.2991,0.3410,0.0293,0.0418,0.1227
FFIC,74,0.2698,0.3481,0.4212,0.0784,0.0731,0.1735
DBRG,74,0.2695,0.2917,0.3603,0.0222,0.0686,0.1905
